SubID,Project,LongID,Transcriptions,Date Tested,Date of Birth,Age,Gender
Booklet1-186,5yoL,NA,1,12/9/15,7/24/10,5.377138946,M
Booklet1-187,5yoL,Booklet2-080,1,12/12/15,6/27/10,5.45927447,F
Booklet1-188,5yoL,Booklet2-081,1,12/12/15,6/27/10,5.45927447,M
Booklet1-189,5yoL,NA,1,12/13/15,12/17/09,5.987679671,M
Booklet1-190,5yoL,Booklet2-082,1,12/13/15,5/26/10,5.549623546,F
Booklet1-191,5yoL,NA,1,1/10/16,7/4/10,5.519507187,M
Booklet1-192,5yoL,NA,1,1/10/16,7/4/10,5.519507187,M
Booklet1-193,5yoL,Booklet2-083,1,1/15/16,3/23/10,5.815195072,M
Booklet1-194,5yoL,Booklet2-084,1,1/16/16,10/12/10,5.262149213,F
Booklet1-195,5yoL,Booklet2-085,1,1/17/16,5/22/10,5.656399726,F
Booklet1-196,5yoL,Booklet2-086,1,1/27/16,12/10/10,5.130732375,F
Booklet1-197,5yoL,Booklet2-087,1,2/15/16,8/14/10,5.505817933,F
Booklet1-198,5yoL,NA,1,2/19/16,8/1/10,5.552361396,M
Booklet1-199,5yoL,Booklet2-088,1,2/19/16,1/5/11,5.122518823,F
Booklet1-200,5yoL,NA,1,2/20/16,4/13/10,5.856262834,F
Booklet1-201,5yoL,Booklet2-089,1,2/20/16,7/30/10,5.560574949,F
Booklet1-202,5yoL,Booklet2-090,1,2/24/16,9/7/10,5.464750171,F
Booklet1-203,5yoL,Booklet2-091,1,3/10/16,11/11/10,5.327857632,M
Booklet1-204,5yoL,Booklet2-092,1,3/11/16,10/2/10,5.440109514,M
Booklet1-205,5yoL,Booklet2-093,1,3/12/16,3/6/11,5.018480493,F
Booklet1-206,510yoC,NA,0,2/7/09,12/19/00,8.136892539,M
Booklet1-207,510yoC,NA,0,2/8/09,1/24/02,7.041752225,F
Booklet1-208,510yoC,NA,0,2/17/09,8/28/01,7.474332649,F
Booklet1-209,510yoC,NA,0,2/17/09,8/1/98,10.54893908,F
Booklet1-210,510yoC,NA,0,2/21/09,12/14/00,8.188911704,M
Booklet1-211,510yoC,NA,0,2/22/09,9/23/01,7.416837782,M
Booklet1-212,510yoC,NA,0,2/24/09,5/10/00,8.793976728,F
Booklet1-213,510yoC,NA,0,3/3/09,12/19/00,8.202600958,M
Booklet1-214,510yoC,NA,0,3/7/09,5/25/98,10.78439425,F
Booklet1-215,510yoC,NA,0,3/7/09,8/11/98,10.57084189,M
Booklet1-216,510yoC,NA,0,3/10/09,10/13/99,9.407255305,M
Booklet1-217,510yoC,NA,0,3/10/09,2/18/02,7.055441478,M
Booklet1-218,510yoC,NA,0,3/17/09,10/19/99,9.409993155,F
Booklet1-219,510yoC,NA,0,3/17/09,2/8/00,9.103353867,F
Booklet1-220,510yoC,NA,0,3/22/09,10/12/99,9.442847365,F
Booklet1-221,510yoC,NA,0,3/22/09,2/1/99,10.13552361,F
Booklet1-222,510yoC,NA,0,4/21/09,2/17/04,5.174537988,M
Booklet1-223,510yoC,NA,0,4/21/09,3/27/03,6.069815195,M
Booklet1-224,510yoC,NA,0,5/12/09,9/5/03,5.683778234,M
Booklet1-225,510yoC,NA,0,5/12/09,10/31/97,11.52908966,F
Booklet1-226,79yoC,NA,1,10/16/15,10/14/08,7.003422313,F
Booklet1-227,79yoC,NA,1,10/18/15,11/18/07,7.915126626,F
Booklet1-228,79yoC,NA,1,10/29/15,11/29/07,7.915126626,F
Booklet1-229,79yoC,NA,1,10/31/15,11/16/07,7.956194387,M
Booklet1-230,79yoC,NA,1,11/14/15,9/20/08,7.148528405,F
Booklet1-231,79yoC,NA,1,11/14/15,9/25/08,7.134839151,M
Booklet1-232,79yoC,NA,1,11/23/15,12/26/07,7.909650924,F
Booklet1-233,79yoC,NA,1,11/29/15,10/14/08,7.123887748,M
Booklet1-234,79yoC,NA,1,1/3/16,1/20/08,7.953456537,F
Booklet1-235,79yoC,NA,1,1/3/16,1/20/08,7.953456537,M
Booklet1-236,79yoC,NA,1,1/15/16,3/18/08,7.8275154,M
Booklet1-237,79yoC,NA,1,1/24/16,12/31/08,7.063655031,M
Booklet1-238,79yoC,NA,1,1/24/16,8/14/06,9.445585216,M
Booklet1-239,79yoC,NA,1,1/27/16,6/21/07,8.602327173,F
Booklet1-240,79yoC,NA,1,1/31/16,1/3/09,7.074606434,M
Booklet1-241,79yoC,NA,1,2/13/16,3/18/08,7.906913073,M
Booklet1-242,79yoC,NA,1,2/13/16,3/18/08,7.906913073,F
Booklet1-243,79yoC,NA,1,2/15/16,5/12/06,9.763175907,F
Booklet1-244,79yoC,NA,1,2/21/16,11/9/08,7.282683094,F
Booklet1-245,79yoC,NA,1,2/23/16,1/18/09,7.09650924,M
Booklet1-246,79yoC,NA,1,2/28/16,9/6/06,9.478439425,F
Booklet1-247,79yoC,NA,1,2/28/16,9/13/08,7.457905544,F
Booklet1-248,79yoC,NA,1,3/5/16,9/18/06,9.46201232,M
Booklet1-249,79yoC,NA,1,3/10/16,3/24/06,9.963039014,M
Booklet1-250,79yoC,NA,1,3/12/16,6/25/08,7.712525667,M
Booklet1-251,79yoC,NA,1,3/12/16,3/5/08,8.019164956,M
Booklet1-252,79yoC,NA,1,4/3/16,2/10/08,8.145106092,M
Booklet1-253,79yoC,NA,1,4/3/16,7/23/06,9.697467488,M
Booklet1-254,79yoC,NA,1,4/9/16,10/17/07,8.479123888,M
Booklet1-255,79yoC,NA,1,4/10/16,9/7/07,8.59137577,F
Booklet1-256,79yoC,NA,1,4/24/16,10/18/06,9.516769336,F
Booklet1-257,79yoC,NA,1,4/24/16,5/16/06,9.941136208,F
Booklet1-258,79yoC,NA,1,4/27/16,3/12/09,7.126625599,F
